density	velocityVariance	speedMean	currentSpeed	currentAcc	exp	
2.546479E-05	6.439863	9.467267	10	50	1	
2.546479E-05	10.33851	9.248606	10	50	1	
1.782535E-05	4.224451	8.881743	10	50	1	
1.782535E-05	0.4681963	9.419148	10	50	1	
2.037183E-05	2.222142	10.00904	10	50	1	
2.291831E-05	5.098914	9.796348	10	50	1	
2.037183E-05	3.843893	8.914698	10	50	1	
1.527887E-05	0.9137751	8.956447	10	50	1	
1.782535E-05	0.9525684	8.904811	10	50	1	
2.037183E-05	0.9186478	8.750648	10	50	1	
2.291831E-05	0.4279512	8.63742	10	50	1	
2.291831E-05	0.285478	8.565556	10	50	1	
2.037183E-05	0.529306	8.627971	10	50	1	
2.037183E-05	1.52975	8.85137	10	50	1	
2.037183E-05	0.626355	8.944074	10	50	1	
2.291831E-05	1.165421	9.141428	10	50	1	
2.291831E-05	2.76852	9.461136	10	50	1	
2.037183E-05	0.4652223	9.402298	10	50	1	
2.037183E-05	4.516077	9.781604	10	50	1	
2.291831E-05	10.46167	10.13397	10	50	1	
2.291831E-05	9.247225	9.801048	10	50	1	
2.291831E-05	8.070463	9.450345	10	50	1	
2.037183E-05	2.773806	9.428093	10	50	1	
1.782535E-05	2.220638	9.199212	10	50	1	
2.037183E-05	4.077593	9.546268	10	50	1	
2.037183E-05	4.988934	9.281257	10	50	1	
1.782535E-05	1.214534	9.396654	10	50	1	
1.782535E-05	1.779853	9.561277	10	50	1	
1.782535E-05	2.281293	9.875936	10	50	1	
2.037183E-05	5.2914	10.652	10	50	1	
2.291831E-05	15.28913	10.15981	10	50	1	
2.037183E-05	5.978361	9.641637	10	50	1	
2.037183E-05	10.69219	9.667952	10	50	1	
2.291831E-05	4.743776	8.942159	10	50	1	
2.037183E-05	1.743453	8.76681	10	50	1	
1.527887E-05	0.2565617	8.592595	10	50	1	
1.782535E-05	1.494075	8.913202	10	50	1	
1.527887E-05	2.869659	9.129544	10	50	1	
1.273239E-05	2.580595	9.230745	10	50	1	
1.273239E-05	0.7342761	9.395491	10	50	1	
1.527887E-05	1.98572	9.349332	10	50	1	
1.273239E-05	3.167279	8.947764	10	50	1	
1.273239E-05	0.4388841	8.752975	10	50	1	
1.527887E-05	0.2061264	8.749801	10	50	1	
