LastReportedND_x	LastReportedND_y	LastReportedND_z	dronesDensity	totalConflicts	conflictFrequency	currentTime	testVariable	CurrentVariable	timeScale	runTime	queueLength	citySize	BCI	FAI	HVariability	ARVariability	
0.4380496	0.2607512	0.2588232	4.65133101851852E-05	1070	88	49.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3531707	0.08833269	-0.4923423	4.71643518518519E-05	1164	90	50.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4422303	0.1819429	0.4552994	4.78153935185185E-05	1274	94	51.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
-0.512304	0.4114444	0.08355767	4.86834490740741E-05	1353	110	52.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.3483067	0.2522011	-0.2567577	4.92621527777778E-05	1430	79	53.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.02936366	0.09543521	0.2343971	5.01302083333333E-05	1547	77	54.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.4310728	0.4824322	0.2530257	5.09982638888889E-05	1650	117	55.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.09038346	0.07697546	-0.02852856	5.17216435185185E-05	1779	103	56.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4218625	0.1879342	0.4015723	5.24450231481481E-05	1898	129	57.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
0.06346709	0.4645939	-0.2300242	5.31684027777778E-05	2029	119	58.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.295801	0.1322184	-0.1162189	5.41087962962963E-05	2157	131	59.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1402578	0.08718579	-0.217291	5.4615162037037E-05	2294	128	60.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.372464	0.2489552	0.4305452	5.55555555555556E-05	2477	137	61.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.1586623	0.102232	0.1534234	5.60619212962963E-05	2685	183	62.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1148919	0.361288	-0.4092927	5.6568287037037E-05	2872	208	63.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.2189171	0.2390601	-0.2917055	5.72916666666667E-05	3007	187	64.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4214248	0.1045719	-0.140801	5.80873842592593E-05	3169	135	65.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
-0.2617584	0.4179816	0.2035161	5.87384259259259E-05	3335	162	66.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.4682981	0.3845297	-0.1154589	5.94618055555556E-05	3530	166	67.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
0.4130431	0.1971932	-0.4591428	6.02575231481481E-05	3721	195	68.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.07098325	0.4123354	-0.2739083	6.06915509259259E-05	3925	191	69.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.4109879	0.4125366	-0.2537353	6.11979166666667E-05	4132	204	70.655	SpawnRate	1	0.3	200	1	240	0.6	15	0.7	0.2	
-0.3672302	0.09107712	0.3111748	6.21383101851852E-05	4331	207	71.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
-0.1273604	0.332568	-0.3675123	6.23553240740741E-05	4539	199	72.655	SpawnRate	1	0.3	200	0	240	0.6	15	0.7	0.2	
