time	collisionFrequency	density	variance	alignmentGain	cohesionGain	separationGain	migrationGain	orthSepGain	a	c	speed	maxForce	flockingInterval	SOIRadius	
357.0049	0	8.125E-05	823.193392913013	1	1	1	1	0	20	3	10	10	0.1	25	
358.0049	0	7.5E-05	1019.76976017311	1	1	1	1	0	20	3	10	10	0.1	25	
359.0049	0	7.5E-05	1108.65922647874	1	1	1	1	0	20	3	10	10	0.1	25	
360.0049	0	6.875E-05	609.919163110121	1	1	1	1	0	20	3	10	10	0.1	25	
361.0049	0	7.5E-05	369.619150175091	1	1	1	1	0	20	3	10	10	0.1	25	
362.0049	0	6.875E-05	522.88458251766	1	1	1	1	0	20	3	10	10	0.1	25	
363.0049	0	6.25E-05	847.788268296587	1	1	1	1	0	20	3	10	10	0.1	25	
364.0049	0	6.875E-05	1004.28129577654	1	1	1	1	0	20	3	10	10	0.1	25	
365.0049	0	7.5E-05	1181.85357060918	1	1	1	1	0	20	3	10	10	0.1	25	
366.0049	0	6.875E-05	1086.31157183526	1	1	1	1	0	20	3	10	10	0.1	25	
367.0049	0	6.25E-05	956.787107320343	1	1	1	1	0	20	3	10	10	0.1	25	
368.0049	0	6.25E-05	929.889022390609	1	1	1	1	0	20	3	10	10	0.1	25	
369.0049	0	6.875E-05	970.741620532979	1	1	1	1	0	20	3	10	10	0.1	25	
370.0049	0	8.75E-05	1110.38262347599	1	1	1	1	0	20	3	10	10	0.1	25	
371.0049	0	7.5E-05	1467.98281607713	1	1	1	1	0	20	3	10	10	0.1	25	
372.0049	0	6.25E-05	661.16876653515	1	1	1	1	0	20	3	10	10	0.1	25	
373.0049	0	7.5E-05	947.964407565277	1	1	1	1	0	20	3	10	10	0.1	25	
374.0049	1	7.5E-05	760.666008977968	1	1	1	1	0	20	3	10	10	0.1	25	
375.0049	0	6.875E-05	1270.98240537914	1	1	1	1	0	20	3	10	10	0.1	25	
376.0049	0	6.25E-05	1246.2032098486	1	1	1	1	0	20	3	10	10	0.1	25	
377.0049	0	7.5E-05	1067.45802361482	1	1	1	1	0	20	3	10	10	0.1	25	
378.0049	0	7.5E-05	1058.04748306081	1	1	1	1	0	20	3	10	10	0.1	25	
379.0049	0	7.5E-05	1141.77082835707	1	1	1	1	0	20	3	10	10	0.1	25	
380.0049	0	7.5E-05	1440.16300327073	1	1	1	1	0	20	3	10	10	0.1	25	
381.0049	0	6.875E-05	942.496852259988	1	1	1	1	0	20	3	10	10	0.1	25	
382.0049	0	6.875E-05	1115.57630527737	1	1	1	1	0	20	3	10	10	0.1	25	
383.0049	0	5E-05	1789.41542468984	1	1	1	1	0	20	3	10	10	0.1	25	
384.0049	0	5E-05	1734.01369610413	1	1	1	1	0	20	3	10	10	0.1	25	
385.0049	0	6.875E-05	1279.53517200914	1	1	1	1	0	20	3	10	10	0.1	25	
386.0049	0	6.25E-05	1214.30134791594	1	1	1	1	0	20	3	10	10	0.1	25	
387.0049	0	7.5E-05	1311.39437730745	1	1	1	1	0	20	3	10	10	0.1	25	
388.0049	0	8.125E-05	1304.22558842625	1	1	1	1	0	20	3	10	10	0.1	25	
389.0049	0	7.5E-05	1244.08617457538	1	1	1	1	0	20	3	10	10	0.1	25	
390.0049	0	6.875E-05	1088.76286324996	1	1	1	1	0	20	3	10	10	0.1	25	
391.0049	0	7.5E-05	1074.80748375917	1	1	1	1	0	20	3	10	10	0.1	25	
392.0049	0	6.875E-05	1108.30119250147	1	1	1	1	0	20	3	10	10	0.1	25	
393.0049	0	5.625E-05	1302.26535322858	1	1	1	1	0	20	3	10	10	0.1	25	
394.0049	0	6.875E-05	1472.3808157367	1	1	1	1	0	20	3	10	10	0.1	25	
395.0049	0	6.25E-05	1459.96160971014	1	1	1	1	0	20	3	10	10	0.1	25	
396.0049	0	6.25E-05	1207.06021311678	1	1	1	1	0	20	3	10	10	0.1	25	
397.0049	0	6.25E-05	1202.05924999695	1	1	1	1	0	20	3	10	10	0.1	25	
398.0049	0	7.5E-05	865.365071481934	1	1	1	1	0	20	3	10	10	0.1	25	
399.0049	0	7.5E-05	915.158669349957	1	1	1	1	0	20	3	10	10	0.1	25	
400.0049	0	6.875E-05	1247.85150893283	1	1	1	1	0	20	3	10	10	0.1	25	
401.0049	0	6.25E-05	978.050496608674	1	1	1	1	0	20	3	10	10	0.1	25	
402.0049	0	6.875E-05	880.413965432526	1	1	1	1	0	20	3	10	10	0.1	25	
403.0049	0	7.5E-05	1325.51836839238	1	1	1	1	0	20	3	10	10	0.1	25	
404.0049	0	8.125E-05	840.189549458051	1	1	1	1	0	20	3	10	10	0.1	25	
405.0049	0	7.5E-05	1312.98026889402	1	1	1	1	0	20	3	10	10	0.1	25	
406.0049	0	6.875E-05	707.259785746564	1	1	1	1	0	20	3	10	10	0.1	25	
407.0049	0	8.75E-05	675.167428560542	1	1	1	1	0	20	3	10	10	0.1	25	
